WEC: ava. Rotation,WEC: max. Rotation,WEC: min. Rotation,WEC: ava. Power,WEC: max. Power,WEC: min. Power,WEC: ava. Nacel position including cable twisting,WEC: ava. reactive Power,WEC: max. reactive Power,WEC: min. reactive Power,WEC: ava. blade angle A,Sys 1 inverter 1 cabinet temp.,Sys 1 inverter 2 cabinet temp.,Sys 1 inverter 3 cabinet temp.,Sys 1 inverter 4 cabinet temp.,Sys 1 inverter 5 cabinet temp.,Sys 1 inverter 6 cabinet temp.,Sys 1 inverter 7 cabinet temp.,Sys 2 inverter 1 cabinet temp.,Sys 2 inverter 2 cabinet temp.,Sys 2 inverter 3 cabinet temp.,Sys 2 inverter 4 cabinet temp.,Sys 2 inverter 5 cabinet temp.,Sys 2 inverter 6 cabinet temp.,Sys 2 inverter 7 cabinet temp.,Spinner temp.,Front bearing temp.,Rear bearing temp.,Pitch cabinet blade A temp.,Pitch cabinet blade B temp.,Pitch cabinet blade C temp.,Blade A temp.,Blade B temp.,Blade C temp.,Rotor temp. 1,Rotor temp. 2,Stator temp. 1,Stator temp. 2,Nacelle ambient temp. 1,Nacelle ambient temp. 2,Nacelle temp.,Nacelle cabinet temp.,Main carrier temp.,Rectifier cabinet temp.,Yaw inverter cabinet temp.,Fan inverter cabinet temp.,Ambient temp.,Tower temp.,Control cabinet temp.,Transformer temp.,RTU: ava. Setpoint 1,Inverter averages,Inverter std dev,Predicted_Fault
10.11999989,11.94999981,8.640000343,909.0,1671.0,488.0,221.0,83.0,132.0,57.0,1.0,20.0,22.0,21.0,21.0,22.0,21.0,20.0,22.0,20.0,19.0,19.0,-14.0,0.0,-50.0,13.0,18.0,25.0,28.0,28.0,28.0,166.0,166.0,167.0,46.0,46.0,64.0,64.0,9.0,9.0,13.0,16.0,12.0,27.0,21.0,26.0,11.0,20.0,26.0,34.0,3050.0,20.63636398,1.120064974,NF
13.67000008,14.59000015,12.32999992,2675.0,3140.0,1814.0,717.0,245.0,286.0,178.0,1.0,34.0,33.0,33.0,32.0,33.0,30.0,33.0,31.0,32.0,29.0,29.0,-14.0,0.0,-50.0,15.0,21.0,27.0,32.0,32.0,31.0,166.0,165.0,166.0,79.0,78.0,91.0,90.0,11.0,11.0,14.0,17.0,18.0,27.0,24.0,26.0,11.0,30.0,40.0,62.0,3050.0,31.72727203,1.737291574,NF
6.670000076,7.519999981,5.880000114,134.0,263.0,41.0,-396.0,46.0,56.0,37.0,1.0,29.0,30.0,29.0,29.0,32.0,36.0,35.0,36.0,36.0,36.0,35.0,-14.0,0.0,-50.0,24.0,28.0,33.0,39.0,39.0,38.0,166.0,166.0,166.0,49.0,49.0,55.0,55.0,17.0,17.0,21.0,25.0,20.0,40.0,28.0,34.0,20.0,28.0,37.0,46.0,3050.0,33.0,3.193743944,NF
5.230000019,5.409999847,5.039999962,9.0,15.0,5.0,-202.0,43.0,44.0,42.0,1.0,35.0,36.0,36.0,36.0,38.0,36.0,36.0,38.0,38.0,37.0,34.0,-14.0,0.0,-50.0,26.0,30.0,33.0,42.0,42.0,41.0,165.0,165.0,166.0,38.0,38.0,35.0,35.0,18.0,18.0,22.0,27.0,22.0,36.0,29.0,34.0,19.0,22.0,33.0,45.0,3050.0,36.36363602,1.286291361,NF
11.06999969,11.46000004,10.65999985,1247.0,1418.0,1074.0,312.0,67.0,69.0,66.0,1.0,29.0,29.0,29.0,28.0,30.0,27.0,28.0,29.0,29.0,26.0,26.0,-14.0,0.0,-50.0,19.0,25.0,30.0,33.0,33.0,32.0,166.0,166.0,166.0,52.0,53.0,72.0,72.0,16.0,15.0,18.0,20.0,18.0,29.0,26.0,31.0,15.0,27.0,34.0,43.0,3050.0,28.18181801,1.328019738,NF
10.52999973,11.72999954,9.43999958,1022.0,1531.0,636.0,260.0,98.0,132.0,78.0,1.0,36.0,36.0,34.0,35.0,36.0,33.0,34.0,34.0,33.0,31.0,31.0,-14.0,0.0,-50.0,20.0,27.0,32.0,37.0,37.0,36.0,166.0,165.0,166.0,68.0,67.0,78.0,78.0,17.0,17.0,19.0,24.0,22.0,31.0,29.0,31.0,17.0,31.0,39.0,64.0,3050.0,33.90909195,1.814086318,NF
5.210000038,5.309999943,5.130000114,10.0,14.0,7.0,-237.0,39.0,42.0,38.0,1.0,25.0,31.0,27.0,27.0,28.0,27.0,28.0,29.0,30.0,28.0,26.0,-14.0,0.0,-50.0,20.0,24.0,29.0,36.0,36.0,35.0,166.0,165.0,166.0,35.0,35.0,31.0,31.0,11.0,11.0,15.0,20.0,14.0,29.0,23.0,27.0,8.0,13.0,23.0,36.0,3050.0,27.81818199,1.721521616,NF
5.28000021,5.510000229,4.909999847,11.0,18.0,2.0,164.0,21.0,26.0,12.0,1.0,27.0,29.0,28.0,27.0,29.0,27.0,28.0,30.0,30.0,28.0,26.0,-14.0,0.0,-50.0,29.0,23.0,27.0,42.0,43.0,42.0,165.0,165.0,165.0,38.0,39.0,40.0,39.0,16.0,16.0,21.0,24.0,17.0,32.0,26.0,32.0,15.0,16.0,25.0,37.0,2501.0,28.09090996,1.300349593,NF
8.840000153,10.40999985,7.489999771,529.0,974.0,261.0,47.0,46.0,48.0,36.0,1.0,24.0,24.0,24.0,23.0,25.0,23.0,23.0,28.0,25.0,24.0,29.0,-14.0,0.0,-50.0,18.0,23.0,29.0,33.0,33.0,32.0,166.0,166.0,166.0,44.0,44.0,62.0,62.0,16.0,16.0,17.0,19.0,16.0,33.0,25.0,30.0,16.0,22.0,30.0,37.0,3050.0,24.72727203,2.004540205,NF
6.360000134,6.630000114,6.010000229,87.0,125.0,51.0,181.0,41.0,43.0,41.0,1.0,29.0,29.0,29.0,35.0,36.0,37.0,35.0,36.0,36.0,37.0,35.0,-14.0,0.0,-50.0,24.0,28.0,33.0,40.0,40.0,39.0,165.0,165.0,166.0,46.0,46.0,53.0,53.0,16.0,16.0,22.0,27.0,22.0,38.0,30.0,35.0,18.0,26.0,37.0,46.0,3050.0,34.0,3.286335468,NF
14.68999958,15.21000004,14.28999996,2520.0,2549.0,2491.0,130.0,3.0,4.0,3.0,7.559999943,31.0,34.0,31.0,33.0,33.0,34.0,30.0,33.0,31.0,30.0,30.0,-14.0,0.0,-50.0,19.0,24.0,31.0,38.0,37.0,36.0,165.0,165.0,166.0,76.0,76.0,90.0,88.0,15.0,15.0,17.0,21.0,19.0,28.0,29.0,32.0,15.0,31.0,39.0,59.0,2501.0,31.81818199,1.601135969,NF
9.670000076,12.65999985,7.650000095,796.0,1997.0,298.0,-160.0,108.0,232.0,59.0,1.0,21.0,23.0,21.0,22.0,23.0,22.0,20.0,22.0,21.0,20.0,20.0,-14.0,0.0,-50.0,15.0,21.0,25.0,31.0,32.0,30.0,166.0,166.0,166.0,51.0,51.0,59.0,58.0,10.0,9.0,13.0,17.0,12.0,28.0,20.0,26.0,11.0,18.0,25.0,33.0,3050.0,21.36363602,1.120064855,NF
7.820000172,8.43999958,7.329999924,323.0,440.0,233.0,103.0,46.0,47.0,45.0,1.0,21.0,23.0,21.0,23.0,22.0,23.0,26.0,28.0,27.0,29.0,26.0,-14.0,0.0,-50.0,21.0,23.0,28.0,37.0,37.0,36.0,166.0,166.0,166.0,46.0,47.0,54.0,53.0,17.0,17.0,22.0,25.0,18.0,38.0,27.0,34.0,15.0,19.0,28.0,35.0,3050.0,24.45454597,2.841254234,NF
12.27000046,13.75,10.71000004,1454.0,2270.0,914.0,258.0,-1.0,3.0,-4.0,1.0,32.0,33.0,32.0,32.0,33.0,32.0,31.0,32.0,32.0,30.0,30.0,-14.0,0.0,-50.0,22.0,27.0,32.0,36.0,37.0,36.0,166.0,165.0,166.0,53.0,54.0,70.0,70.0,19.0,19.0,22.0,24.0,22.0,32.0,29.0,34.0,21.0,31.0,38.0,46.0,3050.0,31.72727203,1.009049892,NF
10.52000046,11.80000019,9.649999619,1033.0,1587.0,701.0,-452.0,61.0,82.0,55.0,1.0,31.0,32.0,30.0,31.0,32.0,29.0,29.0,31.0,30.0,28.0,27.0,-14.0,0.0,-50.0,17.0,22.0,28.0,31.0,32.0,31.0,166.0,166.0,166.0,51.0,51.0,69.0,69.0,13.0,13.0,17.0,19.0,18.0,28.0,23.0,28.0,15.0,29.0,36.0,46.0,3050.0,30.0,1.612451553,NF
0.0,0.02,0.0,0.0,0.0,0.0,-241.0,0.0,0.0,0.0,60.08000183,31.0,32.0,31.0,30.0,33.0,31.0,31.0,33.0,33.0,32.0,29.0,-14.0,0.0,-50.0,25.0,26.0,27.0,48.0,39.0,36.0,166.0,166.0,165.0,28.0,28.0,25.0,25.0,20.0,21.0,21.0,26.0,20.0,34.0,28.0,33.0,19.0,20.0,29.0,41.0,2864.0,31.45454597,1.29333961,FF
12.09000015,14.30000019,9.260000229,1795.0,3113.0,599.0,-379.0,110.0,199.0,55.0,1.0,30.0,31.0,30.0,30.0,31.0,30.0,30.0,31.0,30.0,28.0,28.0,-14.0,0.0,-50.0,19.0,23.0,29.0,34.0,34.0,33.0,166.0,166.0,166.0,57.0,58.0,70.0,70.0,16.0,16.0,19.0,22.0,19.0,31.0,26.0,32.0,20.0,29.0,35.0,44.0,3050.0,29.90909004,1.044465899,NF
11.22999954,11.93999958,10.72000027,1072.0,1307.0,930.0,171.0,8.0,11.0,5.0,1.0,33.0,34.0,33.0,33.0,34.0,34.0,32.0,34.0,33.0,32.0,32.0,-14.0,0.0,-50.0,22.0,29.0,34.0,37.0,37.0,37.0,166.0,165.0,166.0,51.0,52.0,66.0,65.0,18.0,17.0,21.0,25.0,22.0,31.0,28.0,33.0,19.0,31.0,38.0,46.0,3050.0,33.09090805,0.831209421,NF
9.949999809,11.65999985,7.920000076,854.0,1551.0,347.0,-71.0,80.0,124.0,54.0,1.0,24.0,25.0,24.0,24.0,25.0,24.0,24.0,25.0,25.0,23.0,23.0,-14.0,0.0,-50.0,13.0,19.0,26.0,28.0,29.0,28.0,166.0,166.0,167.0,50.0,50.0,57.0,56.0,6.0,6.0,12.0,14.0,13.0,28.0,20.0,24.0,8.0,24.0,35.0,48.0,3050.0,24.18181801,0.750757217,NF
